Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.561338114816831,0.744283347252242,1.5,0,0,0,81.3116882358968,15.6196861372056,0.000471335765372673,-1.07736976857099E-18,13.3260799103019,-2.44792039132809E-17,28.9240829306446,0,0,0,0,0,0,package://finalguizi.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://finalguizi.SLDASM/meshes/base_link.STL,,midbanzi-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_Link,-1.05006256357391,0.75,-0.209225742066298,0,0,0,40.5,8.57790000000001,-3.27629141532889E-32,-1.85037170770859E-16,0.992587500000002,8.60631368184848E-31,7.60218750000001,0,0,0,0,0,0,package://finalguizi.SLDASM/meshes/left_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://finalguizi.SLDASM/meshes/left_Link.STL,,leftbanzi-1,Origin_lfixed,,lfixed,fixed,-0.18625,-1.9992,0.0017223,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
right_Link,-1.05006256357391,0.75,-0.209225742066298,0,0,0,40.5,8.57790000000001,-1.27057878275548E-32,-1.85037170770859E-16,0.992587500000002,-1.73472347597681E-16,7.60218750000001,0,0,0,0,0,0,package://finalguizi.SLDASM/meshes/right_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://finalguizi.SLDASM/meshes/right_Link.STL,,leftbanzi-2,Origin_rfixed,,rfixed,fixed,1.1637,-1.9992,0.0017223,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
taizi,-0.582667870449744,-0.0838425560155797,0.23,0,0,0,40.3,1.41659392473118,5.88146371626907E-16,-1.48488432063944E-15,6.96652666666666,0.387855,5.80123392473118,0,0,0,0,0,0,package://finalguizi.SLDASM/meshes/taizi.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://finalguizi.SLDASM/meshes/taizi.STL,,taizi-1,Origin_midfixed,,midfixed,fixed,0.021355,-1.52,0.98653,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
